demand_date,peak_time_utc,peak_time_pdt,peak_hour_pdt,daily_peak_mwh,valley_time_utc,valley_time_pdt,valley_hour_pdt,daily_valley_mwh,peak_valley_gap_mwh
2024/7/4,2024/7/4 3:00,2024/7/3 20:00,20,42598,2024/7/4 14:00,2024/7/4 7:00,7,25355,17243
2024/7/26,2024/7/26 3:00,2024/7/25 20:00,20,44727,2024/7/26 14:00,2024/7/26 7:00,7,27832,16895
2024/7/6,2024/7/6 3:00,2024/7/5 20:00,20,42126,2024/7/6 14:00,2024/7/6 7:00,7,25301,16825
2024/7/25,2024/7/25 3:00,2024/7/24 20:00,20,44673,2024/7/25 13:00,2024/7/25 6:00,6,27947,16726
2024/7/24,2024/7/24 3:00,2024/7/23 20:00,20,44561,2024/7/24 13:00,2024/7/24 6:00,6,28124,16437
2024/7/20,2024/7/20 3:00,2024/7/19 20:00,20,41418,2024/7/20 14:00,2024/7/20 7:00,7,25301,16117
2024/7/7,2024/7/7 3:00,2024/7/6 20:00,20,40642,2024/7/7 15:00,2024/7/7 8:00,8,24737,15905
2024/7/27,2024/7/27 3:00,2024/7/26 20:00,20,40013,2024/7/27 15:00,2024/7/27 8:00,8,24117,15896
2024/7/12,2024/7/12 3:00,2024/7/11 20:00,20,43602,2024/7/12 14:00,2024/7/12 7:00,7,27813,15789
2024/7/11,2024/7/11 3:00,2024/7/10 20:00,20,43417,2024/7/11 13:00,2024/7/11 6:00,6,27924,15493
2024/7/23,2024/7/23 3:00,2024/7/22 20:00,20,43010,2024/7/23 13:00,2024/7/23 6:00,6,27642,15368
2024/7/9,2024/7/9 3:00,2024/7/8 20:00,20,41249,2024/7/9 13:00,2024/7/9 6:00,6,25970,15279
2024/7/21,2024/7/21 3:00,2024/7/20 20:00,20,39059,2024/7/21 15:00,2024/7/21 8:00,8,24223,14836
2024/7/10,2024/7/10 3:00,2024/7/9 20:00,20,40913,2024/7/10 13:00,2024/7/10 6:00,6,26254,14659
2024/7/3,2024/7/3 3:00,2024/7/2 20:00,20,41428,2024/7/3 13:00,2024/7/3 6:00,6,26972,14456
2024/7/13,2024/7/13 3:00,2024/7/12 20:00,20,39709,2024/7/13 14:00,2024/7/13 7:00,7,25466,14243
2024/7/5,2024/7/5 3:00,2024/7/4 20:00,20,38211,2024/7/5 13:00,2024/7/5 6:00,6,25130,13081
2024/7/2,2024/7/2 3:00,2024/7/1 20:00,20,38956,2024/7/2 13:00,2024/7/2 6:00,6,25908,13048
2024/7/19,2024/7/19 3:00,2024/7/18 20:00,20,39279,2024/7/19 14:00,2024/7/19 7:00,7,26285,12994
2024/7/8,2024/7/8 3:00,2024/7/7 20:00,20,39261,2024/7/8 14:00,2024/7/8 7:00,7,26616,12645
2024/7/16,2024/7/16 4:00,2024/7/15 21:00,21,37333,2024/7/16 13:00,2024/7/16 6:00,6,24981,12352
2024/7/22,2024/7/22 23:00,2024/7/22 16:00,16,37332,2024/7/22 13:00,2024/7/22 6:00,6,25183,12149
2024/7/14,2024/7/14 3:00,2024/7/13 20:00,20,35833,2024/7/14 14:00,2024/7/14 7:00,7,23805,12028
2024/7/17,2024/7/17 4:00,2024/7/16 21:00,21,36824,2024/7/17 13:00,2024/7/17 6:00,6,24859,11965
2024/7/31,2024/7/31 3:00,2024/7/30 20:00,20,36115,2024/7/31 13:00,2024/7/31 6:00,6,24327,11788
2024/7/18,2024/7/18 3:00,2024/7/17 20:00,20,37114,2024/7/18 13:00,2024/7/18 6:00,6,25397,11717
2024/7/1,2024/7/1 4:00,2024/6/30 21:00,21,35172,2024/7/1 13:00,2024/7/1 6:00,6,23568,11604
2024/7/30,2024/7/30 3:00,2024/7/29 20:00,20,35321,2024/7/30 12:00,2024/7/30 5:00,5,24061,11260
2024/7/15,2024/7/15 4:00,2024/7/14 21:00,21,35303,2024/7/15 12:00,2024/7/15 5:00,5,24061,11242
2024/7/28,2024/7/28 4:00,2024/7/27 21:00,21,32220,2024/7/28 15:00,2024/7/28 8:00,8,22692,9528
2024/7/29,2024/7/29 4:00,2024/7/28 21:00,21,32379,2024/7/29 12:00,2024/7/29 5:00,5,22853,9526
